,id,stationName,x,y,geometry
1136,SN55740,Anestølen,6.9074867,61.3647726,POINT (6.9074867 61.3647726)
1137,SN52510,Fedjeosen sørvest,4.661,60.7318,POINT (4.661 60.7318)
1138,SN725,Fv221 Valdalsfjellet,12.132,62.08183,POINT (12.132 62.08183)
1139,SN1246500,,19.3994444444,51.7233333333,POINT (19.3994444444 51.7233333333)
1140,SN8880,Alvdal ,10.6268,62.1093,POINT (10.6268 62.1093)
1141,SN241080,Letafors D,12.6989,60.7397,POINT (12.6989 60.7397)
1142,SN94238,Polarbasen,23.6475,70.6322,POINT (23.6475 70.6322)
1143,SN30305,Fv32 Kikut,9.66367,59.2485,POINT (9.66367 59.2485)
1144,SN3365800,,25.9725,48.2663888888889,POINT (25.9725 48.2663888888889)
1146,SN667000,,8.53583333333333,47.4797222222222,POINT (8.53583333333333 47.4797222222222)
1147,SN1502000,,26.6455555555556,47.7355555555556,POINT (26.6455555555556 47.7355555555556)
1148,SN6440,Vermundsjøen,12.369,60.6925,POINT (12.369 60.6925)
1149,SN91690,Skarvesteinen,20.71,69.99,POINT (20.71 69.99)
1150,SN47450,Straumøy,5.4335,59.6532,POINT (5.4335 59.6532)
1151,SN27120,Nykirke,10.3847,59.4283,POINT (10.3847 59.4283)
1152,SN261500,Falsterbo,12.8166666666667,55.3836111111111,POINT (12.8166666666667 55.3836111111111)
1153,SN50070,Kvamsøy,6.2805,60.3632,POINT (6.2805 60.3632)
1154,SN17870,Rustadskogen,10.8104,59.6704,POINT (10.8104 59.6704)
1155,SN43350,Eigerøya,5.87183,58.43517,POINT (5.87183 58.43517)
1156,SN99460,Svanvik,30.041,69.4552,POINT (30.041 69.4552)
1157,SN91430,Rihpojávri,20.5795,69.2235,POINT (20.5795 69.2235)
1158,SN214990,Långträsk D,19.249,65.1953,POINT (19.249 65.1953)
1159,SN294400,,23.6175,61.4202777777778,POINT (23.6175 61.4202777777778)
1160,SN63725,E6 Oppdal,9.7215,62.60067,POINT (9.7215 62.60067)
1161,SN91780,Øvre Kildal,21.0845,69.6928,POINT (21.0845 69.6928)
1162,SN24240,Rv7 Rallerud,9.84533,60.25883,POINT (9.84533 60.25883)
1163,SN9580,Tynset,10.7352666,62.2696934,POINT (10.7352666 62.2696934)
1164,SN56790,E39 Sande bru,5.77733,61.32283,POINT (5.77733 61.32283)
1165,SN60190,Roaldshornet,6.849,62.3065,POINT (6.849 62.3065)
1166,SN299200,,26.4444444444444,60.275,POINT (26.4444444444444 60.275)
1167,SN201900,Katterjakk,18.1680555555556,68.4202777777778,POINT (18.1680555555556 68.4202777777778)
1168,SN262810,Karlshamn,14.8517,56.1813,POINT (14.8517 56.1813)
1169,SN44660,Hundvåg,5.7193,58.9987,POINT (5.7193 58.9987)
1170,SN7920,Finstad - Nyhus,11.0355,62.1083,POINT (11.0355 62.1083)
